👎 :-1:
🕦 :clock1130:
🕛 :clock12:
🕧 :clock1230:
🕜 :clock130:
🕑 :clock2:
🕝 :clock230:
🕒 :clock3:
🕞 :clock330:
🕓 :clock4:
🕟 :clock430:
🕔 :clock5:
🕠 :clock530:
🕕 :clock6:
🕡 :clock630:
🕖 :clock7:
🕢 :clock730:
🕗 :clock8:
🕣 :clock830:
🕘 :clock9:
🕤 :clock930:
🔃 :clockwise_downwards_and_upwards_open_circle_arrows:
🔂 :clockwise_rightwards_and_leftwards_open_circle_arrows_with_circled_one_overlay:
🔁 :clockwise_rightwards_and_leftwards_open_circle_arrows:
📕 :closed_book:
🔐 :closed_lock_with_key:
📪 :closed_mailbox_with_lowered_flag:
📫 :closed_mailbox_with_raised_flag:
🌂 :closed_umbrella:
☁ :cloud:
☁️ :cloud:
♣️ :clubs:
🇨🇳 :cn:
🍸 :cocktail_glass:
🍸 :cocktail:
☕ :coffee:
😰 :cold_sweat:
💥 :collision_symbol:
💥 :collision:
💻 :computer:
🎊 :confetti_ball:
😖 :confounded_face:
😖 :confounded:
😕 :confused_face:
😕 :confused:
㊗️ :congratulations:
🚧 :construction_sign:
👷 :construction_worker:
🚧 :construction:
🏪 :convenience_store:
🍚 :cooked_rice:
🍪 :cookie:
🍳 :cooking:
🆒 :cool:
👮 :cop:
©️ :copyright:
🌽 :corn:
💑 :couple_with_heart:
👫 :couple:
💏 :couplekiss:
🐮 :cow_face:
🐄 :cow:
🐮 :cow:
🐄 :cow2:
💳 :credit_card:
🌙 :crescent_moon:
🐊 :crocodile:
❌ :cross_mark:
🎌 :crossed_flags:
👑 :crown:
😢 :cry:
😿 :crying_cat_face:
😢 :crying_face:
🔮 :crystal_ball:
💘 :cupid:
➰ :curly_loop:
💱 :currency_exchange:
🍛 :curry_and_rice:
🍛 :curry:
🍮 :custard:
🛃 :customs:
🌀 :cyclone:
💃 :dancer:
👯 :dancers:
🍡 :dango:
🎯 :dart:
💨 :dash_symbol:
💨 :dash:
📅 :date:
🇩🇪 :de:
🌳 :deciduous_tree:
🚚 :delivery_truck:
🏬 :department_store:
💠 :diamond_shape_with_a_dot_inside:
♦️ :diamonds:
🎯 :direct_hit:
😥 :disappointed_but_relieved_face:
😞 :disappointed_face:
😥 :disappointed_relieved:
😞 :disappointed:
😵 :dizzy_face:
💫 :dizzy_symbol:
💫 :dizzy:
🚯 :do_not_litter_symbol:
🚯 :do_not_litter:
🐶 :dog_face:
🐕 :dog:
🐶 :dog:
🐕 :dog2:
💵 :dollar:
🎎 :dolls:
🐬 :dolphin:
🚪 :door:
➿ :double_curly_loop:
‼ :double_exclamation_mark:
🍩 :doughnut:
🔻 :down_pointing_red_triangle:
🔽 :down_pointing_small_red_triangle:
⬇ :downwards_black_arrow:
🐲 :dragon_face:
🐉 :dragon:
👗 :dress:
🐪 :dromedary_camel:
💧 :droplet:
📀 :dvd:
📧 :e_mail_symbol:
📧 :e-mail:
🌽 :ear_of_maize:
🌾 :ear_of_rice:
👂 :ear:
🌍 :earth_africa:
🌎 :earth_americas:
🌏 :earth_asia:
🌎 :earth_globe_americas:
🌏 :earth_globe_asia_australia:
🌍 :earth_globe_europe_africa:
🥚 :egg:
🍆 :eggplant:
✴ :eight_pointed_black_star:
✴️ :eight_pointed_black_star:
✳ :eight_spoked_asterisk:
✳️ :eight_spoked_asterisk:
8️⃣ :eight:
💡 :electric_light_bulb:
🔌 :electric_plug:
🔦 :electric_torch:
🐘 :elephant:
✉️ :email:
🔚 :end_with_leftwards_arrow_above:
🔚 :end:
📩 :envelope_with_downwards_arrow_above:
✉ :envelope:
✉️ :envelope:
🇪🇸 :es:
💶 :euro:
🏰 :european_castle:
🏤 :european_post_office:
🌲 :evergreen_tree:
⁉ :exclamation_question_mark:
❗ :exclamation:
😑 :expressionless_face:
😑 :expressionless:
👽 :extraterrestrial_alien:
👓 :eyeglasses:
👀 :eyes:
💆 :face_massage:
😋 :face_savouring_delicious_food:
😱 :face_screaming_in_fear:
😘 :face_throwing_a_kiss:
😓 :face_with_cold_sweat:
😤 :face_with_look_of_triumph:
😷 :face_with_medical_mask:
🙅 :face_with_no_good_gesture:
🙆 :face_with_ok_gesture:
😰 :face_with_open_mouth_and_cold_sweat:
😮 :face_with_open_mouth:
😝 :face_with_stuck_out_tongue_and_tightly_closed_eyes:
😜 :face_with_stuck_out_tongue_and_winking_eye:
😛 :face_with_stuck_out_tongue:
😂 :face_with_tears_of_joy:
😶 :face_without_mouth:
👊 :facepunch:
🏭 :factory:
🍂 :fallen_leaf:
👪 :family:
⏩ :fast_forward:
🎅 :father_christmas:
📠 :fax_machine:
📠 :fax:
😨 :fearful_face:
😨 :fearful:
🐾 :feet:
🎡 :ferris_wheel:
📁 :file_folder:
🚒 :fire_engine:
🔥 :fire:
🎇 :firework_sparkler:
🎆 :fireworks:
🌓 :first_quarter_moon_symbol:
🌛 :first_quarter_moon_with_face:
🌓 :first_quarter_moon:
🍥 :fish_cake_with_swirl_design:
🍥 :fish_cake:
🐟 :fish:
🎣 :fishing_pole_and_fish:
✊ :fist:
👊 :fisted_hand_sign:
5️⃣ :five:
⛳ :flag_in_hole:
🎏 :flags:
🔦 :flashlight:
💪 :flexed_biceps:
💾 :floppy_disk:
🎴 :flower_playing_cards:
😳 :flushed_face:
😳 :flushed:
🌁 :foggy:
🏈 :football:
👣 :footprints:
🍴 :fork_and_knife:
⛲ :fountain:
🍀 :four_leaf_clover:
4️⃣ :four:
🇫🇷 :fr:
🇫🇷 :france_flag:
🆓 :free:
🍟 :french_fries:
🍤 :fried_shrimp:
🍟 :fries:
🐸 :frog_face:
🐸 :frog:
🐥 :front_facing_baby_chick:
😦 :frowning_face_with_open_mouth:
😦 :frowning:
🖕 :fu:
⛽ :fuel_pump:
⛽ :fuelpump:
🌕 :full_moon_symbol:
🌝 :full_moon_with_face:
🌕 :full_moon:
🎲 :game_die:
🇬🇧 :gb:
💎 :gem_stone:
💎 :gem:
♊ :gemini:
🇩🇪 :germany_flag:
👻 :ghost:
💝 :gift_heart:
🎁 :gift:
👧 :girl:
🌐 :globe_with_meridians:
🌟 :glowing_star:
🐐 :goat:
⛳ :golf:
🎓 :graduation_cap:
🍇 :grapes:
🇬🇧 :great_britain_flag:
🍏 :green_apple:
📗 :green_book:
💚 :green_heart:
❕ :grey_exclamation:
❔ :grey_question:
😬 :grimacing_face:
😬 :grimacing:
😁 :grin:
😸 :grinning_cat_face_with_smiling_eyes:
😁 :grinning_face_with_smiling_eyes:
😀 :grinning_face:
😀 :grinning:
💗 :growing_heart:
💂 :guardsman:
🎸 :guitar:
🔫 :gun:
💇 :haircut:
🍔 :hamburger:
🔨 :hammer:
🐹 :hamster_face:
🐹 :hamster:
✋ :hand:
👜 :handbag:
💩 :hankey:
🙋 :happy_person_raising_one_hand:
# :hash_key:
#️⃣ :hash:
🐥 :hatched_chick:
🐣 :hatching_chick:
🎧 :headphone:
🎧 :headphones:
🙉 :hear_no_evil_monkey:
🙉 :hear_no_evil:
💟 :heart_decoration:
😻 :heart_eyes_cat:
😍 :heart_eyes:
💘 :heart_with_arrow:
💝 :heart_with_ribbon:
❤️ :heart:
💓 :heartbeat:
💗 :heartpulse:
♥️ :hearts:
✔ :heavy_check_mark:
✔️ :heavy_check_mark:
➗ :heavy_division_sign:
💲 :heavy_dollar_sign:
❗ :heavy_exclamation_mark_symbol:
❗ :heavy_exclamation_mark:
⭕ :heavy_large_circle:
➖ :heavy_minus_sign:
✖ :heavy_multiplication_x:
✖️ :heavy_multiplication_x:
➕ :heavy_plus_sign:
🚁 :helicopter:
🌿 :herb:
🌺 :hibiscus:
🔆 :high_brightness_symbol:
🔆 :high_brightness:
👠 :high_heel:
👠 :high_heeled_shoe:
🚅 :high_speed_train_with_bullet_nose:
🚄 :high_speed_train:
⚡ :high_voltage_sign:
🔪 :hocho:
🍯 :honey_pot:
🐝 :honeybee:
🚥 :horizontal_traffic_light:
🐴 :horse_face:
🏇 :horse_racing:
🐎 :horse:
🐴 :horse:
🏥 :hospital:
☕ :hot_beverage:
♨ :hot_springs:
🏨 :hotel:
♨️ :hotsprings:
⏳ :hourglass_flowing_sand:
⏳ :hourglass_with_flowing_sand:
⌛ :hourglass:
🏠 :house_building:
🏡 :house_with_garden:
🏠 :house:
💯 :hundred_points_symbol:
